Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Robin Lehner (15246956),Robin Lehner,15246956,G,8100,VAN@VGK 09/01/2020 09:45PM ET,VGK,17.09
G,Marc-Andre Fleury (15246957),Marc-Andre Fleury,15246957,G,7900,VAN@VGK 09/01/2020 09:45PM ET,VGK,12.64
G,Carter Hart (15246958),Carter Hart,15246958,G,7800,NYI@PHI 09/01/2020 07:00PM ET,PHI,13.26
G,Semyon Varlamov (15246959),Semyon Varlamov,15246959,G,7700,NYI@PHI 09/01/2020 07:00PM ET,NYI,13.49
G,Brian Elliott (15246960),Brian Elliott,15246960,G,7600,NYI@PHI 09/01/2020 07:00PM ET,PHI,10.92
G,Thomas Greiss (15246961),Thomas Greiss,15246961,G,7500,NYI@PHI 09/01/2020 07:00PM ET,NYI,13.29
G,Jacob Markstrom (15246962),Jacob Markstrom,15246962,G,7300,VAN@VGK 09/01/2020 09:45PM ET,VAN,16.37
C,Elias Pettersson (15246664),Elias Pettersson,15246664,C/UTIL,7100,VAN@VGK 09/01/2020 09:45PM ET,VAN,11.72
LW,Max Pacioretty (15246724),Max Pacioretty,15246724,W/UTIL,7100,VAN@VGK 09/01/2020 09:45PM ET,VGK,14.82
G,Thatcher Demko (15246963),Thatcher Demko,15246963,G,7100,VAN@VGK 09/01/2020 09:45PM ET,VAN,12.55
RW,Mark Stone (15246726),Mark Stone,15246726,W/UTIL,6600,VAN@VGK 09/01/2020 09:45PM ET,VGK,11.80
C,Mathew Barzal (15246666),Mathew Barzal,15246666,C/UTIL,6500,NYI@PHI 09/01/2020 07:00PM ET,NYI,10.26
G,Alex Lyon (15246965),Alex Lyon,15246965,G,6500,NYI@PHI 09/01/2020 07:00PM ET,PHI,8.83
G,Christopher Gibson (15246966),Christopher Gibson,15246966,G,6500,NYI@PHI 09/01/2020 07:00PM ET,NYI,0
G,Kirill Ustimenko (15246968),Kirill Ustimenko,15246968,G,6500,NYI@PHI 09/01/2020 07:00PM ET,PHI,0
G,Jakub Skarek (15246970),Jakub Skarek,15246970,G,6500,NYI@PHI 09/01/2020 07:00PM ET,NYI,0
G,Ilya Sorokin (15246971),Ilya Sorokin,15246971,G,6500,NYI@PHI 09/01/2020 07:00PM ET,NYI,0
G,Oscar Dansk (15246964),Oscar Dansk,15246964,G,6500,VAN@VGK 09/01/2020 09:45PM ET,VGK,0.7
G,Louis Domingue (15246967),Louis Domingue,15246967,G,6500,VAN@VGK 09/01/2020 09:45PM ET,VAN,6.7
G,Michael DiPietro (15246969),Michael DiPietro,15246969,G,6500,VAN@VGK 09/01/2020 09:45PM ET,VAN,0.7
G,Garret Sparks (15246972),Garret Sparks,15246972,G,6500,VAN@VGK 09/01/2020 09:45PM ET,VGK,1.4
D,Shea Theodore (15246852),Shea Theodore,15246852,D/UTIL,6400,VAN@VGK 09/01/2020 09:45PM ET,VGK,11.70
C,Bo Horvat (15246668),Bo Horvat,15246668,C/UTIL,6300,VAN@VGK 09/01/2020 09:45PM ET,VAN,11.36
C,William Karlsson (15246670),William Karlsson,15246670,C/UTIL,6100,VAN@VGK 09/01/2020 09:45PM ET,VGK,9.53
LW,Jonathan Marchessault (15246728),Jonathan Marchessault,15246728,W/UTIL,6100,VAN@VGK 09/01/2020 09:45PM ET,VGK,10.90
C,Sean Couturier (15246672),Sean Couturier,15246672,C/UTIL,6000,NYI@PHI 09/01/2020 07:00PM ET,PHI,9.98
LW,Anders Lee (15246730),Anders Lee,15246730,W/UTIL,5900,NYI@PHI 09/01/2020 07:00PM ET,NYI,10.25
C,Brock Nelson (15246674),Brock Nelson,15246674,C/UTIL,5800,NYI@PHI 09/01/2020 07:00PM ET,NYI,10.51
LW,J.T. Miller (15246732),J.T. Miller,15246732,W/UTIL,5800,VAN@VGK 09/01/2020 09:45PM ET,VAN,11.40
LW,Claude Giroux (15246734),Claude Giroux,15246734,W/UTIL,5600,NYI@PHI 09/01/2020 07:00PM ET,PHI,9.55
D,Alexander Edler (15246854),Alexander Edler,15246854,D/UTIL,5600,VAN@VGK 09/01/2020 09:45PM ET,VAN,11.94
D,Ryan Pulock (15246856),Ryan Pulock,15246856,D/UTIL,5400,NYI@PHI 09/01/2020 07:00PM ET,NYI,10.69
RW,Reilly Smith (15246736),Reilly Smith,15246736,W/UTIL,5400,VAN@VGK 09/01/2020 09:45PM ET,VGK,9.64
RW,Tyler Toffoli (15246738),Tyler Toffoli,15246738,W/UTIL,5300,VAN@VGK 09/01/2020 09:45PM ET,VAN,10.13
C,Kevin Hayes (15246676),Kevin Hayes,15246676,C/UTIL,5200,NYI@PHI 09/01/2020 07:00PM ET,PHI,8.96
D,Ivan Provorov (15246858),Ivan Provorov,15246858,D/UTIL,5200,NYI@PHI 09/01/2020 07:00PM ET,PHI,8.95
LW,Anthony Beauvillier (15246740),Anthony Beauvillier,15246740,W/UTIL,5100,NYI@PHI 09/01/2020 07:00PM ET,NYI,8.59
RW,Jordan Eberle (15246742),Jordan Eberle,15246742,W/UTIL,5000,NYI@PHI 09/01/2020 07:00PM ET,NYI,9.25
D,Quinn Hughes (15246860),Quinn Hughes,15246860,D/UTIL,5000,VAN@VGK 09/01/2020 09:45PM ET,VAN,8.69
RW,Jakub Voracek (15246744),Jakub Voracek,15246744,W/UTIL,4900,NYI@PHI 09/01/2020 07:00PM ET,PHI,8.27
C,Jean-Gabriel Pageau (15246678),Jean-Gabriel Pageau,15246678,C/UTIL,4800,NYI@PHI 09/01/2020 07:00PM ET,NYI,9.61
RW,Travis Konecny (15246746),Travis Konecny,15246746,W/UTIL,4800,NYI@PHI 09/01/2020 07:00PM ET,PHI,9.32
D,Nate Schmidt (15246862),Nate Schmidt,15246862,D/UTIL,4800,VAN@VGK 09/01/2020 09:45PM ET,VGK,9.51
RW,Brock Boeser (15246748),Brock Boeser,15246748,W/UTIL,4700,VAN@VGK 09/01/2020 09:45PM ET,VAN,9.78
RW,Alex Tuch (15246750),Alex Tuch,15246750,W/UTIL,4600,VAN@VGK 09/01/2020 09:45PM ET,VGK,8.03
D,Alec Martinez (15246864),Alec Martinez,15246864,D/UTIL,4600,VAN@VGK 09/01/2020 09:45PM ET,VGK,8.58
RW,Josh Bailey (15246752),Josh Bailey,15246752,W/UTIL,4500,NYI@PHI 09/01/2020 07:00PM ET,NYI,7.33
LW,Tanner Pearson (15246754),Tanner Pearson,15246754,W/UTIL,4400,VAN@VGK 09/01/2020 09:45PM ET,VAN,9.11
D,Devon Toews (15246866),Devon Toews,15246866,D/UTIL,4300,NYI@PHI 09/01/2020 07:00PM ET,NYI,6.91
