Player,Position,Team,FP,Cost,Rank,Over,Position,Yds,TD,Ints,Att,Yds,TDs,Rec,Yds,TDs,FP,Cost,Value
"Derrick Henry (RB, TEN)",RB,TEN,27.21,"$8,700 ",#26,#1,#1,0,0,0,24.36,122.14,1.35,1.86,15.3,0.09,27.21,"$8,700 ",3.13
"Russell Wilson (QB, SEA)",QB,SEA,24.07,"$7,900 ",#28,#2,#1,272.5,2.5,0.62,5.37,28.63,0.17,0,0,0,24.07,"$7,900 ",3.05
"Patrick Mahomes (QB, KC)",QB,KC),23.83,"$8,100 ",#7,#3,#2,296.55,2.33,0.6,4.29,18.81,0.24,0,0,0,23.83,"$8,100 ",2.94
"Davante Adams (WR, GB)",WR,GB),22.19,"$9,300 ",#32,#4,#1,0,0,0,0,0,0,7.7,95.52,0.83,22.19,"$9,300 ",2.39
"Josh Allen (QB, BUF)",QB,BUF,23.2,"$7,100 ",#3,#5,#3,265.88,1.78,0.81,7.89,35.43,0.49,0,0,0,23.2,"$7,100 ",3.27
"Aaron Rodgers (QB, GB)",QB,GB),22.3,"$7,500 ",#32,#6,#4,289.34,2.27,0.36,2.72,12.64,0.12,0,0,0,22.3,"$7,500 ",2.97
"Kyler Murray (QB, ARI)",QB,ARI,22.56,"$7,200 ",#13,#7,#5,261.55,1.57,0.76,8.3,38.25,0.47,0,0,0,22.56,"$7,200 ",3.13
"Deshaun Watson (QB, HOU)",QB,HOU,22.52,"$7,600 ",#9,#8,#6,278.66,1.69,0.74,7.44,33.5,0.36,0,0,0,22.52,"$7,600 ",2.96
"Dalvin Cook (RB, MIN)",RB,MIN,21.32,"$9,400 ",#4,#9,#2,0,0,0,21.55,95.47,0.7,3.69,30.86,0.16,21.32,"$9,400 ",2.27
"Lamar Jackson (QB, BAL)",QB,BAL,21.18,"$7,000 ",#25,#10,#7,209.76,1.65,0.58,9.55,47.85,0.36,0,0,0,21.18,"$7,000 ",3.03
"Aaron Jones (RB, GB)",RB,GB),19.98,"$7,600 ",#32,#11,#3,0,0,0,15.25,73.81,0.88,3.2,28.63,0.22,19.98,"$7,600 ",2.63
"Tom Brady (QB, TB)",QB,TB),20.1,"$6,900 ",#15,#12,#8,271.87,2.3,0.53,1.18,2.76,0.05,0,0,0,20.1,"$6,900 ",2.91
"Justin Herbert (QB, LAC)",QB,LAC,20.24,"$6,800 ",#16,#13,#9,282.62,1.87,0.73,2.85,12.73,0.16,0,0,0,20.24,"$6,800 ",2.98
"Tyreek Hill (WR, KC)",WR,KC),19.29,"$8,500 ",#7,#14,#2,0,0,0,1.01,5.27,0.05,5.8,82.22,0.74,19.29,"$8,500 ",2.27
