Player,FP,Cost,Value,Min,Pts,Rbd,Ast,Stl,BLK,To
Nikola Jokic C,53.5,"$9,900 ",5.4,38.08,23.3,10.8,8,1.4,0.8,3.7
Kawhi Leonard SF,50.8,"$10,300 ",4.93,37.57,27.7,7.7,5.6,2,0.7,3.1
LAC  @  DENWed 9:00pm,,,,,,,,,,
Jayson Tatum SF/PF,48.2,"$9,300 ",5.18,39.66,26.1,9,3.6,1.6,1,2.9
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Paul George SG,44,"$8,500 ",5.18,37.37,22.7,6.9,5,1.9,0.5,3.3
LAC  @  DENWed 9:00pm,,,,,,,,,,
Jamal Murray PG/SG,43.8,"$8,600 ",5.09,40.8,24.9,5.1,5.9,1.6,0.3,2.7
LAC  @  DENWed 9:00pm,,,,,,,,,,
Kyle Lowry PG,41.1,"$8,200 ",5.02,41.84,19.6,5.7,7,1.6,0.4,3.5
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Pascal Siakam PF,41.1,"$7,800 ",5.27,40.16,21.5,8.3,3.6,1.1,0.9,2.9
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Kemba Walker PG,40.5,"$8,100 ",5,38.29,22.2,4.9,5.4,1.1,0.6,2.6
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Fred VanVleet PG/SG,39.1,"$7,500 ",5.22,41.53,18.2,4.1,7.3,2,0.3,2.5
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Jaylen Brown SG/SF,35.6,"$7,600 ",4.69,38.85,20.4,7.1,2.2,1.2,0.3,2.4
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Marcus Smart PG/SG,32.6,"$6,500 ",5.02,38.64,13.4,4.3,5.6,1.9,0.6,2
TOR  @  BOSWed 6:30pm,,,,,,,,,,
OG Anunoby SF/PF,27.6,"$5,700 ",4.83,38.82,11.8,6,2.2,1.6,0.8,1.3
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Louis Williams PG/SG,26.5,"$5,800 ",4.56,27.14,14.2,2.8,5.2,0.5,0.2,2.5
LAC  @  DENWed 9:00pm,,,,,,,,,,
Serge Ibaka C,25.9,"$5,500 ",4.71,25.41,11.9,7.4,1.3,0.5,1,1.7
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Jerami Grant SF/PF,25.9,"$5,100 ",5.07,37.99,12.8,5.1,1.5,1,1,1.2
LAC  @  DENWed 9:00pm,,,,,,,,,,
Daniel Theis PF/C,25.5,"$5,400 ",4.73,29.45,8.7,7.9,1.8,0.7,1.5,1
TOR  @  BOSWed 6:30pm,,,,,,,,,,
Marcus Morris SF/PF,23.6,"$4,900 ",4.82,32.07,12.2,5.1,1.5,0.8,0.4,1.6
LAC  @  DENWed 9:00pm,,,,,,,,,,
Paul Millsap PF/C,23.5,"$4,800 ",4.89,25.81,9.7,6.2,1.7,1,0.8,1.4
LAC  @  DENWed 9:00pm,,,,,,,,,,
Ivica Zubac C,23.3,"$4,800 ",4.85,22.73,8.8,7.8,1.3,0.4,1.3,1.2
LAC  @  DENWed 9:00pm,,,,,,,,,,
Montrezl Harrell C,22.9,"$4,400 ",5.21,21.03,12.3,5.3,1.2,0.5,0.9,1.2
LAC  @  DENWed 9:00pm,,,,,,,,,,
